chrom	start	end	summit	qval	signal
chr20	34876209	34876310	34876259	4.08225	318.22103
chr14	24271304	24271405	24271354	4.08225	305.37406
chr19	54137349	54137450	54137399	4.08225	284.91942
chr8	142777399	142777500	142777449	4.08225	264.94323
chr4	77076163	77076264	77076213	4.08225	256.33686
chr4	3836997	3837098	3837047	4.08225	248.48169
chr1	1919521	1919622	1919571	4.08225	247.4696
chr16	10744189	10744290	10744239	4.08225	240.06582
chr11	67421152	67421253	67421202	4.08225	233.12861
chr2	241356204	241356305	241356254	4.08225	229.48015
chr20	49278321	49278422	49278371	4.08225	229.09902
chr16	50153008	50153109	50153058	4.08225	223.73071
chr2	19348085	19348186	19348135	4.08225	213.98787
chr2	55617621	55617722	55617671	4.08225	213.6921
chr5	176647270	176647371	176647320	4.08225	211.97196
chr17	44200300	44200401	44200350	4.08225	209.86298
chr14	23007018	23007119	23007068	4.08225	209.42069
chr21	46635870	46635971	46635920	4.08225	206.65281
chr2	232697270	232697371	232697320	4.08225	205.78872
chr19	8525775	8525876	8525825	4.08225	201.53328
chr2	214809871	214809972	214809921	4.08225	201.14427
chr9	72365206	72365307	72365256	4.08225	201.08977
chr2	27890480	27890581	27890530	4.08225	199.54877
chr2	111120721	111120822	111120771	4.08225	195.50708
chr19	49363748	49363849	49363798	4.08225	194.59258
chr9	37079560	37079661	37079610	4.08225	189.42325
chr11	507145	507246	507195	4.08225	189.17776
chr14	23321298	23321399	23321348	4.08225	187.13512
chr16	29961912	29962013	29961962	4.08225	187.0011
chr19	16628247	16628348	16628297	4.08225	185.26007
chr16	31142339	31142440	31142389	4.08225	184.70319
chr17	63550380	63550481	63550430	4.08225	183.3666
chr6	30556371	30556472	30556421	4.08225	182.00323
chr14	104752740	104752841	104752790	4.08225	181.97345
chr14	23010246	23010347	23010296	4.08225	180.64848
chr12	49741556	49741657	49741606	4.08225	179.62807
chr2	86440962	86441063	86441012	4.08225	179.60132
chr8	142777599	142777700	142777649	4.08225	179.44947
chr14	74084647	74084748	74084697	4.08225	179.31998
chr1	52366326	52366427	52366376	4.08225	179.22783
chr6	2245523	2245624	2245573	4.08225	179.13758
chr20	31573012	31573113	31573062	4.08225	178.3387
chr22	42857389	42857490	42857439	4.08225	176.42097
chr20	34112180	34112281	34112230	4.08225	176.08357
chr11	76860775	76860876	76860825	4.08225	176.01962
chr14	35403854	35403955	35403904	4.08225	174.5663
chr3	38024857	38024958	38024907	4.08225	174.13965
